project_code,report_year,report_month_num,agency_frequency,state_frequency,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,approval_to_start_days,planned_duration_days,time_overrun_days,time_overrun_months,time_overrun_flag
400019,2025,11,0.0022458056277246,0.075564754062266,492.76,288.08,17.0,1551.0,1340.0,274.0,9.00205338809035,1
400019,2025,12,0.0022458056277246,0.075564754062266,492.76,415.47,25.0,1551.0,1340.0,274.0,9.00205338809035,1
400019,2026,1,0.0022458056277246,0.075564754062266,492.76,440.73,25.0,1551.0,1340.0,274.0,9.00205338809035,1
400019,2026,2,0.0022458056277246,0.075564754062266,492.76,476.12,25.0,1551.0,1340.0,274.0,9.00205338809035,1
400019,2026,3,0.0022458056277246,0.075564754062266,492.76,480.92,25.0,1551.0,1340.0,274.0,9.00205338809035,1
400019,2026,4,0.0022458056277246,0.075564754062266,492.76,519.29,25.0,1551.0,1340.0,274.0,9.00205338809035,1
400019,2026,5,0.0022458056277246,0.075564754062266,492.76,542.26,25.0,1551.0,1340.0,274.0,9.00205338809035,1
400019,2026,6,0.0022458056277246,0.075564754062266,492.76,560.32,38.0,1551.0,1340.0,274.0,9.00205338809035,1
400022,2025,7,0.0071337355233607,0.0010568497071645,2798.0,1891.9,14.0,304.0,912.0,0.0,0.0,0
400022,2025,8,0.0071337355233607,0.0010568497071645,2798.0,1915.38,15.0,0.0,2922.0,0.0,0.0,0
400022,2025,10,0.0071337355233607,0.0010568497071645,2798.0,2014.6,17.0,0.0,2922.0,0.0,0.0,0
400022,2025,11,0.0071337355233607,0.0010568497071645,2798.0,2037.04,17.0,0.0,2922.0,0.0,0.0,0
400022,2025,12,0.0071337355233607,0.0010568497071645,2798.0,2098.09,17.0,0.0,2922.0,0.0,0.0,0
400022,2026,1,0.0071337355233607,0.0010568497071645,2798.0,2181.96,20.0,0.0,2922.0,0.0,0.0,0
400022,2026,2,0.0071337355233607,0.0010568497071645,2798.0,2311.66,30.0,0.0,2922.0,0.0,0.0,0
400022,2026,3,0.0071337355233607,0.0010568497071645,2798.0,2321.81,30.0,0.0,2922.0,0.0,0.0,0
