project_code,report_year,report_month_num,agency_frequency,state_frequency,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,expenditure_to_original_cost_pct,expenditure_per_progress_pct_cr,remaining_original_cost_cr,approval_to_start_days,planned_duration_days,elapsed_duration_days,remaining_planned_days,elapsed_duration_pct,progress_per_elapsed_month,schedule_progress_gap_pct,report_year_missing,report_month_num_missing,agency_frequency_missing,state_frequency_missing,original_cost_cr_missing,cumulative_expenditure_cr_missing,physical_progress_pct_missing,expenditure_to_original_cost_pct_missing,expenditure_per_progress_pct_cr_missing,remaining_original_cost_cr_missing,approval_to_start_days_missing,planned_duration_days_missing,elapsed_duration_days_missing,remaining_planned_days_missing,elapsed_duration_pct_missing,progress_per_elapsed_month_missing,schedule_progress_gap_pct_missing,time_overrun_days,time_overrun_months,time_overrun_flag,progress_delta_recent,expenditure_delta_recent,recent_spend_efficiency_cr_pct
220100284,2025,6,0.0021136994143291,0.0101721784314588,3550.0,4910.22,86.0,138.31605633802818,1.6083262364886997,-1360.2200000000005,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0,1.0,70.0,70.0
220100288,2025,4,0.0013650975384208,0.0042273988286582,14322.79,15265.4,68.7,106.5811898380134,1.5514001432025235,-942.6099999999988,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,456.0,14.981519507186858,1,0.0,0.0,1.5514001432025235
220100288,2025,5,0.0013650975384208,0.0042273988286582,14322.79,15338.76,69.0,107.09338054945998,1.5520779789776808,-1015.9699999999992,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,456.0,14.981519507186858,1,0.29999999999999716,73.36000000000058,100.0
220100288,2025,6,0.0013650975384208,0.0042273988286582,14322.79,15485.02,69.2,108.11455030758673,1.5623489928842011,-1162.2299999999996,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,456.0,14.981519507186858,1,0.20000000000000284,146.26000000000022,100.0
220100303,2025,4,0.0026421242679114,0.0119335946100664,2066.78,2294.71,73.0,111.028266191854,1.5209351533130686,-227.92999999999984,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4383.0,144.0,1,0.0,0.0,1.5209351533130686
220100303,2025,5,0.0026421242679114,0.0119335946100664,2066.78,2334.96,73.0,112.9757400400623,1.5476128772611275,-268.17999999999984,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4383.0,144.0,1,0.0,40.25,1.5476128772611275
220100303,2025,6,0.0026421242679114,0.0119335946100664,2066.78,2454.59,73.0,118.76397100804148,1.6269037124389245,-387.81,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4383.0,144.0,1,0.0,119.63000000000011,1.6269037124389245
220100305,2025,4,0.0026421242679114,0.0083667268483861,1625.87,2000.95,80.0,123.06949510108436,1.5383686887635544,-375.08000000000015,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1006.0,33.05133470225873,1,0.0,0.0,1.5383686887635544
220100305,2025,5,0.0026421242679114,0.0083667268483861,1625.87,2013.59,80.0,123.84692503090652,1.5480865628863316,-387.72,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1006.0,33.05133470225873,1,0.0,12.639999999999873,1.5480865628863316
220100305,2025,6,0.0026421242679114,0.0083667268483861,1625.87,2039.52,80.0,125.44176348662565,1.5680220435828205,-413.6500000000001,304.0,912.0,1218.0,-150.0,111.7510630073444,1.2412815626488802,-50.64736645498692,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1006.0,33.05133470225873,1,0.0,25.930000000000064,1.5680220435828205
