serial_no,financial_year,report_period,download_url
"67","2021-22","February","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=35&path=Content\ArchiveReport\flash\2021-22\FR_feb_2022.pdf"
"68","2021-22","March","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=36&path=Content\ArchiveReport\flash\2021-22\FR_mar_2022.pdf"
"69","2021-22","Q1","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1146&path=Content\ArchiveReport\quarterly\2021-22\QPSIR1stqtr2021-22.pdf"
"70","2021-22","Q2","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1147&path=Content\ArchiveReport\quarterly\2021-22\QPSIR_2nd_qtr_2021-22.pdf"
"71","2021-22","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1148&path=Content\ArchiveReport\quarterly\2021-22\QPSIR_3qtr_21-22.pdf"
"72","2021-22","Q4","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1149&path=Content\ArchiveReport\quarterly\2021-22\QPSIR_4th_QTR_2021-22.pdf"
"73","2020-21","Q1","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1142&path=Content\ArchiveReport\quarterly\2020-21\April-June_2020.pdf"
"74","2020-21","Q2","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1143&path=Content\ArchiveReport\quarterly\2020-21\July-Sep_2020.pdf"
"75","2020-21","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1144&path=Content\ArchiveReport\quarterly\2020-21\Oct_Dec_2020(1).pdf"
"76","2020-21","Q4","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1145&path=Content\ArchiveReport\quarterly\2020-21\QPSIR4thQTR2020-21.pdf"
"77","2020-21","April","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=13&path=Content\ArchiveReport\flash\2020-21\FR_APril_2020.pdf"
"78","2020-21","May","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=14&path=Content\ArchiveReport\flash\2020-21\FR_may_2020.pdf"
"79","2020-21","June","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=15&path=Content\ArchiveReport\flash\2020-21\FR_jun_2020.pdf"
"80","2020-21","July","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=16&path=Content\ArchiveReport\flash\2020-21\FR_july_2020%20(1).pdf"
"81","2020-21","August","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=17&path=Content\ArchiveReport\flash\2020-21\FR_august_2020.pdf"
"82","2020-21","September","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=18&path=Content\ArchiveReport\flash\2020-21\FR_sep_2020.pdf"
"83","2020-21","October","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=19&path=Content\ArchiveReport\flash\2020-21\FR_oct_2020.pdf"
"84","2020-21","November","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=20&path=Content\ArchiveReport\flash\2020-21\FR_nov_2020.pdf"
"85","2020-21","December","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=21&path=Content\ArchiveReport\flash\2020-21\FR_dec_2020.pdf"
"86","2020-21","January","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=22&path=Content\ArchiveReport\flash\2020-21\FR_jan_2021.pdf"
"87","2020-21","February","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=23&path=Content\ArchiveReport\flash\2020-21\FR_feb_2021.pdf"
"88","2020-21","March","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=24&path=Content\ArchiveReport\flash\2020-21\FR_mar_2021.pdf"
"89","2019-20","April","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1&path=Content\ArchiveReport\flash\2019-20\FR_APr_Report_2019.pdf"
"90","2019-20","May","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=2&path=Content\ArchiveReport\flash\2019-20\FR_may_Report_2019.pdf"
"91","2019-20","June","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=3&path=Content\ArchiveReport\flash\2019-20\FR_jun_Report_2019.pdf"
"92","2019-20","July","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=4&path=Content\ArchiveReport\flash\2019-20\FR_july_Report_2019.pdf"
"93","2019-20","August","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=5&path=Content\ArchiveReport\flash\2019-20\FR_aug_Report_2019.pdf"
"94","2019-20","September","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=6&path=Content\ArchiveReport\flash\2019-20\FR_sep_Report_2019.pdf"
"95","2019-20","October","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=7&path=Content\ArchiveReport\flash\2019-20\FR_oct_Report_2019.pdf"
"96","2019-20","November","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=8&path=Content\ArchiveReport\flash\2019-20\FR_nov_Report_2019.pdf"
"97","2019-20","December","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=9&path=Content\ArchiveReport\flash\2019-20\FR_dec_Report_2019.pdf"
"98","2019-20","January","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=10&path=Content\ArchiveReport\flash\2019-20\FR_jan_Report_2020.pdf"
"99","2019-20","February","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=11&path=Content\ArchiveReport\flash\2019-20\FR_feb_2020.pdf"
"100","2019-20","March","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=12&path=Content\ArchiveReport\flash\2019-20\FR_march_2020.pdf"
"101","2019-20","Q4","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1138&path=Content\ArchiveReport\quarterly\2019-20\Jan-March_2020.pdf"
"102","2019-20","Q1","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1139&path=Content\ArchiveReport\quarterly\2019-20\apr-jun-2019.pdf"
"103","2019-20","Q2","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1140&path=Content\ArchiveReport\quarterly\2019-20\july-sep_2019.pdf"
"104","2019-20","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1141&path=Content\ArchiveReport\quarterly\2019-20\Oct-Dec_2019.pdf"
"105","2018-19","April","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=141&path=Content\ArchiveReport\flash\2018-19\FR_APr_2018.pdf"
"106","2018-19","May","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=142&path=Content\ArchiveReport\flash\2018-19\FR_may_2018.pdf"
"107","2018-19","June","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=143&path=Content\ArchiveReport\flash\2018-19\FR_jun_2018.pdf"
"108","2018-19","July","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=144&path=Content\ArchiveReport\flash\2018-19\FR_july_2018.pdf"
"109","2018-19","August","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=145&path=Content\ArchiveReport\flash\2018-19\FR_aug_Report_2018.pdf"
"110","2018-19","September","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=146&path=Content\ArchiveReport\flash\2018-19\FR_sep_Report_2018.pdf"
"111","2018-19","October","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=147&path=Content\ArchiveReport\flash\2018-19\FR_oct_Report_2018.pdf"
"112","2018-19","November","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=148&path=Content\ArchiveReport\flash\2018-19\FR_nov_Report_2018.pdf"
"113","2018-19","December","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=149&path=Content\ArchiveReport\flash\2018-19\FR_dec_Report_2018.pdf"
"114","2018-19","January","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=150&path=Content\ArchiveReport\flash\2018-19\FR_jan_Report_2019.pdf"
"115","2018-19","February","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=151&path=Content\ArchiveReport\flash\2018-19\FR_feb_Report_2019.pdf"
"116","2018-19","March","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=152&path=Content\ArchiveReport\flash\2018-19\FR_mar_Report_2019.pdf"
"117","2018-19","Q4","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1134&path=Content\ArchiveReport\quarterly\2018-19\Jan-Mar-2019.pdf"
"118","2018-19","Q1","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1135&path=Content\ArchiveReport\quarterly\2018-19\Apr-June_2018.pdf"
"119","2018-19","Q2","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1136&path=Content\ArchiveReport\quarterly\2018-19\jul-sep_2018.pdf"
"120","2018-19","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1137&path=Content\ArchiveReport\quarterly\2018-19\oct-dec_2018.pdf"
"121","2017-18","Q4","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1130&path=Content\ArchiveReport\quarterly\2017-18\Jan-March_2018.pdf"
"122","2017-18","Q1","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1131&path=Content\ArchiveReport\quarterly\2017-18\Apr-June_2017.pdf"
"123","2017-18","Q2","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1132&path=Content\ArchiveReport\quarterly\2017-18\july-sep_2017.pdf"
"124","2017-18","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1133&path=Content\ArchiveReport\quarterly\2017-18\Oct-Dec_2017.pdf"
"125","2017-18","April","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=129&path=Content\ArchiveReport\flash\2017-18\FR_APril_2017.pdf"
"126","2017-18","May","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=130&path=Content\ArchiveReport\flash\2017-18\FR_may_2017.pdf"
"127","2017-18","June","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=131&path=Content\ArchiveReport\flash\2017-18\FR_june_2017.pdf"
"128","2017-18","July","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=132&path=Content\ArchiveReport\flash\2017-18\FR_july_2017.pdf"
"129","2017-18","August","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=133&path=Content\ArchiveReport\flash\2017-18\FR_aug_2017.pdf"
"130","2017-18","September","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=134&path=Content\ArchiveReport\flash\2017-18\FR_sep_2017.pdf"
"131","2017-18","October","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=135&path=Content\ArchiveReport\flash\2017-18\FR_oct_2017.pdf"
"132","2017-18","November","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=136&path=Content\ArchiveReport\flash\2017-18\FR_nov_2017.pdf"
"133","2017-18","December","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=137&path=Content\ArchiveReport\flash\2017-18\FR_dec_2017.pdf"
"134","2017-18","January","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=138&path=Content\ArchiveReport\flash\2017-18\FR_jan_2018.pdf"
"135","2017-18","February","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=139&path=Content\ArchiveReport\flash\2017-18\FR_feb_2018.pdf"
"136","2017-18","March","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=140&path=Content\ArchiveReport\flash\2017-18\FR_march_2018.pdf"
"137","2016-17","April","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=117&path=Content\ArchiveReport\flash\2016-17\FR_APr_2016.pdf"
"138","2016-17","May","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=118&path=Content\ArchiveReport\flash\2016-17\FR_may_2016.pdf"
"139","2016-17","June","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=119&path=Content\ArchiveReport\flash\2016-17\FR_jun_2016.pdf"
"140","2016-17","July","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=120&path=Content\ArchiveReport\flash\2016-17\FR_jul_2016.pdf"
"141","2016-17","August","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=121&path=Content\ArchiveReport\flash\2016-17\FR_aug_2016.pdf"
"142","2016-17","September","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=122&path=Content\ArchiveReport\flash\2016-17\FR_sep_2016.pdf"
"143","2016-17","October","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=123&path=Content\ArchiveReport\flash\2016-17\FR_oct_2016.pdf"
"144","2016-17","November","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=124&path=Content\ArchiveReport\flash\2016-17\FR_nov_2016.pdf"
"145","2016-17","December","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=125&path=Content\ArchiveReport\flash\2016-17\FR_dec_2016.pdf"
"146","2016-17","January","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=126&path=Content\ArchiveReport\flash\2016-17\FR_jan_2017.pdf"
"147","2016-17","February","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=127&path=Content\ArchiveReport\flash\2016-17\FR_feb_2017.pdf"
"148","2016-17","March","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=128&path=Content\ArchiveReport\flash\2016-17\FR_march_2017.pdf"
"149","2016-17","Q4","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1126&path=Content\ArchiveReport\quarterly\2016-17\Jan-March_2017.pdf"
"150","2016-17","Q1","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1127&path=Content\ArchiveReport\quarterly\2016-17\April-Jun_2016.pdf"
"151","2016-17","Q2","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1128&path=Content\ArchiveReport\quarterly\2016-17\july-sep_2016.pdf"
"152","2016-17","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1129&path=Content\ArchiveReport\quarterly\2016-17\Oct-Dec_2016.pdf"
"153","2015-16","Q4","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1122&path=Content\ArchiveReport\quarterly\2015-16\jan-mar_2016.pdf"
"154","2015-16","Q1","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1123&path=Content\ArchiveReport\quarterly\2015-16\Apr-June-2015.pdf"
"155","2015-16","Q2","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1124&path=Content\ArchiveReport\quarterly\2015-16\July-Sep-2015.pdf"
"156","2015-16","Q3","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=1125&path=Content\ArchiveReport\quarterly\2015-16\oct-dec_2015.pdf"
"157","2015-16","April","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=105&path=Content\ArchiveReport\flash\2015-16\FR_APRil_2015.pdf"
"158","2015-16","May","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=106&path=Content\ArchiveReport\flash\2015-16\FR_may_2015.pdf"
"159","2015-16","June","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=107&path=Content\ArchiveReport\flash\2015-16\FR_jun_2015.pdf"
"160","2015-16","July","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=108&path=Content\ArchiveReport\flash\2015-16\FR_july_2015.pdf"
"161","2015-16","August","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=109&path=Content\ArchiveReport\flash\2015-16\FR_aug_2015.pdf"
"162","2015-16","September","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=110&path=Content\ArchiveReport\flash\2015-16\FR_sep_2015.pdf"
"163","2015-16","October","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=111&path=Content\ArchiveReport\flash\2015-16\FR_oct_2015.pdf"
"164","2015-16","November","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=112&path=Content\ArchiveReport\flash\2015-16\FR_nov_2015.pdf"
"165","2015-16","December","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=113&path=Content\ArchiveReport\flash\2015-16\FR_dec_2015.pdf"
"166","2015-16","January","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=114&path=Content\ArchiveReport\flash\2015-16\FR_jan_2016.pdf"
"167","2015-16","February","https://paimana-proj.mospi.gov.in/ReportPage/ViewPdf?id=115&path=Content\ArchiveReport\flash\2015-16\FR_feb_2016.pdf"
